Training data torch.Size([100000, 2])
MLP with one hidden layer, 3 perceptrons, L2 loss, SGD optimizer, no dropout, 10 epochs.
Test accuracy before: 0.49655
Epoch (414, 2), loss = 0.435, validation accuracy = 0.53
Epoch (415, 2), loss = 0.435, validation accuracy = 0.53
Epoch (416, 2), loss = 0.435, validation accuracy = 0.53
Epoch (417, 2), loss = 0.435, validation accuracy = 0.53
Epoch (418, 2), loss = 0.435, validation accuracy = 0.53
Epoch (419, 2), loss = 0.435, validation accuracy = 0.53
Epoch (420, 2), loss = 0.435, validation accuracy = 0.53
Epoch (421, 2), loss = 0.435, validation accuracy = 0.53
Epoch (422, 2), loss = 0.435, validation accuracy = 0.53
Epoch (423, 2), loss = 0.435, validation accuracy = 0.53
Epoch (424, 2), loss = 0.434, validation accuracy = 0.53
Epoch (425, 2), loss = 0.434, validation accuracy = 0.53
Epoch (426, 2), loss = 0.434, validation accuracy = 0.53
Epoch (427, 2), loss = 0.434, validation accuracy = 0.53
Epoch (428, 2), loss = 0.434, validation accuracy = 0.53
Epoch (429, 2), loss = 0.434, validation accuracy = 0.53
Epoch (430, 2), loss = 0.434, validation accuracy = 0.53
Epoch (431, 2), loss = 0.434, validation accuracy = 0.53
Epoch (432, 2), loss = 0.434, validation accuracy = 0.53
Epoch (433, 2), loss = 0.434, validation accuracy = 0.53
Epoch (434, 2), loss = 0.434, validation accuracy = 0.53
Epoch (435, 2), loss = 0.434, validation accuracy = 0.53
Epoch (436, 2), loss = 0.434, validation accuracy = 0.53
Epoch (437, 2), loss = 0.434, validation accuracy = 0.53
Epoch (438, 2), loss = 0.433, validation accuracy = 0.53
Epoch (439, 2), loss = 0.433, validation accuracy = 0.53
Epoch (440, 2), loss = 0.433, validation accuracy = 0.53
Epoch (441, 2), loss = 0.433, validation accuracy = 0.53
Epoch (442, 2), loss = 0.433, validation accuracy = 0.53
Epoch (443, 2), loss = 0.433, validation accuracy = 0.53
